Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
AAZQ11,Títulos e Val. Mob.,"8,06","18,02%","15,77%","0,93",193.741.000,786.744,0,"0,00","0,00","0,00%","0,00%",
ABCP11,Shoppings,"73,44","8,42%","8,65%","0,72",345.835.000,50.934,1,"4.813,89","511,02","10,62%","2,01%","Avenida Industrial, 600, Centro, Santo André - SP"
AEFI11,Outros,"174,90","8,89%","0,00%","1,20",411.893.000,0,7,"4.320,48","394,34","9,13%","0,00%","Avenida São Luís Rei de França, 32, Turu - São Luís/MA,Rua Timbiras, 1387, Funcionários - Belo Horizonte/MG,Avenida Presidente Juscelino Kubitschek, n° 227/229 e 247, Centro - Betim/MG,Rua Senador Fláquer, 456 - Centro - Santo André-SP,Rua da Consolação, nºs 2.320 e 2.322 - São Paulo/SP,Av. Dr. Rudge Ramos, nº 1.501 - São Bernardo do Campo/SP,Avenida Beira Rio, 3.001, Jardim Europa - Cuiabá/MT"
AFCR11,,"103,15","6,80%","0,00%","1,04",498.867.000,0,0,"0,00","0,00","0,00%","0,00%",
AFHI11,Títulos e Val. Mob.,"97,03","8,94%","12,27%","1,01",442.032.000,1.095.490,0,"0,00","0,00","0,00%","0,00%",
AFOF11,Títulos e Val. Mob.,"91,60","0,77%","0,00%","11,10",1.390.540.000,0,0,"0,00","0,00","0,00%","0,00%",
AGCX11,Outros,"1.235,50","0,74%","0,00%","11,43",15.425.600.000,0,71,"76.293,70","756,97","0,99%","5,39%","Rua Alves Guimarães, 50,Rua Marechal Deodoro, 195,Av Eng. Luiz Carlos Berrini, 1307,Rua Salvador Gianetti, 436,Av. Rio Branco, 311-B,Estrada do Pernambuco, 500,Rua Dr. Feliciano Sodré, 111,Av. Rio Branco, 1.675 - loja,Rua Paes Leme, 250/258,Rua Haddock Lobo, 1573, Jardins,R. Barao de Jundiai, 884,Av. Marechal Câmara, nº 160,Avenida Vereador João Batista Fitipaldi, 115,Via Anchieta, 1.558,Rua João de Almeida, 72,-,Rua Dias da Cruz, 28-A,Av. Afrânio de Melo Franco, 131,Av. Mateo Bei, 3286,Rua 7 de Setembro, 1100,Rua dos Italianos, 609,Av. Mateo Bei, 413,Rua Serra do Japi, 647,Av. Rio Branco, 115,Rua Pedro I, 373,Av. de Pinedo, 228,Av. das Américas, 15.545,Rua Santa Filomena, nºs 677, 687 e 697, Centro,Av. Duque de Caxias, 200 - Sta. Ifigênia,Av. Marechal Floriano Peixoto, nº 2.370,Rua Guerino Giovani Leardini, 63/67,EQ 406/407-SUL  Lote 1 - Brasília - DF,Rua. Senador Flaquer, 305,Av. República do Chile, nº 230,Lg. Páteo do Colégio, 1,Av. Santa Catarina, 287,Rua Buenos Aires, 48,Avenida Salgado Filho, 1301  Centro,Avenida das Esmeraldas, 512,Av. Paulista, 726 - L1,Rua 12, 239,Av Paulista 447 Loja ,Av. do Cursino, 1348,Av. Senador Queiroz, nº 85 a 111 - Lj 1 a 3,Av. Barão de Itapura, 2233,Av. Paulista, 436,-,Av. do Imperador, 3892,Est. Rio do A, 1131,Rua Desembargador Góes Cavalcante, 261,Av. Liberdade, 151,Rua Sesefredo Klein Doll, 12,Av. Indianópolis, 2.125,Av. Padre Antônio Jose Dos Santos, 872,Praça Visconde de Mauá, 20,Rua Mariz e Barros, 79,R. Pedro Vicente, 222,Av. Paulista, 1.227,Rua Floriano Peixoto, 915,Avenida Jorge Zarur, 100,Rua Dr. Nilo Peçanha, 125,Rua Oscar Freire, 585, Jardins,Av. João Pinheiro, 500,Av. Sto. Amaro, 3332 ,Rua Antônio Vieira, 24 - Loja A,Estrada de Taipas, 355,Rua Imperador Dom Pedro II, 255,R. Marechal Deodoro, 460,Rua Visconde de Pirajá, 127,Rua das Palmeiras, 233 - loja"
AGRX11,Híbrido,"10,07","18,01%","15,66%","1,00",180.285.000,303.608,0,"0,00","0,00","0,00%","0,00%",
AIEC11,Lajes Corporativas,"55,62","16,80%","16,82%","0,66",268.366.000,364.874,2,"11.184,60","1.935,00","17,30%","0,00%","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP,Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ"
AJFI11,Títulos e Val. Mob.,"8,35","6,86%","7,28%","0,68",264.077.000,527.228,0,"0,00","0,00","6,30%","0,00%",
ALMI11,Lajes Corporativas,"623,33","5,27%","1,00%","0,29",69.300.000,29.714,1,"1.511,92","211,70","14,00%","55,40%","Avenida Almirante Barroso, 81, Centro, Rio De Janeiro/RJ, Brasil, 20031-004"
ALZC11,Títulos e Val. Mob.,"96,00","14,71%","5,86%","0,95",37.383.300,11.704,0,"0,00","0,00","0,00%","0,00%",
ALZM11,Títulos e Val. Mob.,"7,72","9,08%","13,50%","0,94",117.194.000,243.640,0,"0,00","0,00","0,00%","0,00%",
