Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
AAZQ11,Títulos e Val. Mob.,"8,06","18,02%",15.77,"0,93",193.741.000,786744.0,0,"0,00","0,00","0,00%","0,00%",
AFHI11,Títulos e Val. Mob.,"97,03","8,94%",12.27,"1,01",442.032.000,1095490.0,0,"0,00","0,00","0,00%","0,00%",
AGRX11,Híbrido,"10,07","18,01%",15.66,"1,00",180.285.000,303608.0,0,"0,00","0,00","0,00%","0,00%",
AIEC11,Lajes Corporativas,"55,62","16,80%",16.82,"0,66",268.366.000,364874.0,2,"11.184,60","1.935,00","17,30%","0,00%","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP,Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ"
AJFI11,Títulos e Val. Mob.,"8,35","6,86%",7.28,"0,68",264.077.000,527228.0,0,"0,00","0,00","6,30%","0,00%",
ALZR11,Híbrido,"107,71","7,08%",8.95,"1,01",1.316.930.000,2044250.0,17,"4.849,74","331,28","6,83%","0,00%","Avenida Francisco Prestes Maia, 1497, Sem Complemento, Centro, São Bernardo Do Campo/SP, Brasil, 09770-000,Avenida Dos Estados, S/n, Sem Complemento, Vila Metalurgica, Santo Andre/SP, Brasil, 09220-570,Rua Ministro Godoi, 1697, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05015-001,Avenida Professor Ascendino Reis, 549, Sem Complemento, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000,Rua Fritz Reimann, 500, Sem Complemento, Vila Sao Joao, Guarulhos/SP, Brasil, 07044-020,Avenida Carioca, 798, Antigo Numero 70, Lote 30, Vila Carioca, Sao Paulo/SP, Brasil, 04225-002,Avenida Presidente Juscelino Kubitschek De Oliveira, 3530, Sem Complemento, Jardim Moysés Miguel Haddad, São José Do Rio Preto/SP, Brasil, 15093-215,Rua Pacheco Leao, 70, Sem Complemento, Jardim Botanico, Rio De Janeiro/RJ, Brasil, 22460-030,Rua Padre Adelino, 758, Sem Complemento, Quarta Parada, Sao Paulo/SP, Brasil, 03303-000,Avenida Sumare, 1500, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05016-110,Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365,Rod. Dr. Gov. Ademar Pereira De Barros, Km 195, 195, , , Espirito Santo Do Pinhal/SP, Brasil, 13990-000,Avenida Americo Ribeiro Dos Santos, 385, Sem Complemento, Parque Bandeirantes I (nova Veneza), Sumaré/SP, Brasil, 13181-715,Rua Ministro Godoi, 1697, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05015-001,Avenida Duquesa De Goias, 381, Sem Complemento, Real Parque, Sao Paulo/SP, Brasil, 05686-001,Rua Barao De Penedo, 435, Sem Complemento, Cidade Industrial Satelite De Sao Paulo, Guarulhos/SP, Brasil, 07222-015,Avenida Dom Helder Camara, 3.203, Sem Complemento, Del Castilho, Rio De Janeiro/RJ, Brasil, 21050-624"
ARRI11,Títulos e Val. Mob.,"9,07","6,97%",12.31,"1,06",162.559.000,360565.0,0,"0,00","0,00","0,00%","0,00%",
BARI11,Títulos e Val. Mob.,"80,01","10,05%",10.35,"0,87",370.782.000,632753.0,3,"3.450,24","0,00","0,00%","0,00%","Rua Princesa Isabel, nº 94, Brooklin Paulista, São Paulo/SP,Rua Princesa Isabel, nº 94, Brooklin Paulista, São Paulo/SP"
BBFO11,Títulos e Val. Mob.,"72,50","16,22%",10.09,"0,90",290.283.000,368398.0,0,"0,00","0,00","0,00%","0,00%",
BBGO11,Títulos e Val. Mob.,"84,50","17,01%",11.0,"0,86",338.436.000,304076.0,0,"0,00","0,00","0,00%","0,00%",
BCFF11,Títulos e Val. Mob.,"8,47","9,30%",10.27,"0,91",1.706.630.000,3034110.0,0,"0,00","0,00","0,00%","0,00%","Avenida Das Nacoes Unidas, 14261, Sem Complemento, Vila Gertrudes, Sao Paulo/SP, Brasil, 04794-000"
BCIA11,Títulos e Val. Mob.,"103,03","9,12%",9.48,"0,97",383.172.000,640795.0,0,"0,00","0,00","0,00%","0,00%",
BCRI11,Títulos e Val. Mob.,"70,30","12,14%",12.11,"0,81",439.928.000,473015.0,0,"0,00","0,00","0,00%","0,00%",
BLMG11,Outros,"42,34","14,85%",13.4,"0,59",180.741.000,647673.0,2,"97,38","15,71","16,13%","58,43%","Rodovia Prefeito João Zacchi, 1000 - Pinhal, Cabreúva - SP,Cidade de Jandira, Comarca de Barueri, Estado de São Paulo."
BPFF11,Outros,"69,63","15,19%",10.1,"0,92",312.801.000,343604.0,0,"0,00","0,00","0,00%","0,00%",
BPML11,Híbrido,"88,78","-0,70%",8.61,"0,69",660.678.000,1182480.0,4,"5.010,61","796,36","15,89%","7,11%","Rua América Deolindo Garla, 224, Shopping, Lodrina, PR, 86079-225,Av. Severino Ballesteros, 850 - Cabral, Contagem - MG, 32110-005 ,Q. 107, Norte Avenida, NS 5, s/n, Shopping, Palmas, TO, 77001-098,Av. Maestro Paulo e Silva, 400, Shopping, Rio de Janeiro, RJ, 21920-445"
BRCO11,Logística,"115,11","6,93%",8.83,"0,97",1.830.840.000,3191770.0,12,"3.568,71","313,37","8,78%","5,95%","Rodovia Dom Gabriel Paulino Bueno Couto nº 1936 - Itupeva - SP,Avenida D com acesso a Rodovia Presidente Dutra, KM 298, Resende - RJ,Rua Henry Ford, 803 - Osasco - SP,Avenida Tabai-Canoas (BR 386), nº 1.200, Canoas - RS,Rua Olympia Semeraro, nº 381, 675 e 737, São Paulo - SP,Rua Eugênia S. do Rosário, 2800, Londrina - PR,Rodovia Dom Gabriel Paulino Bueno Couto, nº 1606, Itupeva - SP,Avenida Wilson Tavares Ribeiro, nº 1.651 - Contagem - MG,Estrada Turística do Jaraguá, nº 50, Jaraguá, São Paulo - SP,Rod. BR 104 km 57, s/n - Murici - AL,Avenida Helio Ossamu Daikuara nº 1.135, Embu das Artes - SP,Rod. BA-535. km 23, Lauro de Freitas - BA"
BRCR11,Híbrido,"50,20","-0,73%",10.53,"0,56",1.337.240.000,1357820.0,6,"11.506,10","1.612,29","14,01%","6,14%","Avenida Doutor Chucri Zaidan, 1240, Vila Sao Francisco Zona Sul, Sao Paulo/SP, Brasil, 04711-130,Avenida Das Nacoes Unidas, 14401, Vila Gertrudes, Sao Paulo/SP, Brasil, 04794-000,Avenida Das Nações Unidas 8501, Pinheiros, São Paulo, SP, 05425-070,Avenida Henrique Valadares, 28, Centro, Rio De Janeiro/RJ, Brasil, 00020-231,Avenida Das Americas, 4200, Bloco 5, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-102,Avenida Joao Cabral De Mello Neto, 850, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22775-057"
BROF11,Híbrido,"47,50","13,90%",13.5,"0,44",551.514.000,509214.0,2,"5.977,01","1.040,57","17,41%","4,64%","Avenida De Ligacao, 1809, Nova Lima/MG, Brasil, 34006-200,Rua Do Passeio, 38, Centro, Rio De Janeiro/RJ, Brasil, 20021-290"
BTAL11,Outros,"77,10","17,81%",11.44,"0,68",461.269.000,691240.0,9,"1.316,00","174,04","13,23%","0,00%","Rodovia Pr 182, Km 34  Maripa/pr, Km 34, Perola Independente , Maripa/PR, Brasil, 85958-000,Rodovia Br 242, Km 75, S/n, Zona Rural, Nova Ubirata/MT, Brasil, 78888-000,Rua Frutal 689, Centro, Iturama/MG, Brasil, 38280-971,Rodovia Pr 364, Km 579 , Palotina/PR, Brasil, 85950-000,Estrada Da Pedreira, 151, 14 De Novembro, Cascavel/PR, Brasil, 85804-180,Rua Rio Verde, 101, Paul, Vila Velha/ES, Brasil, 29115-210,Rodovia Br467, Br 163, Km 256.5, Jardim Europa, Toledo/PR, Brasil, 85907-060,Br 277, Km 533, Centro De Recebimento De Grão I.riedi, Colonia Murillo, Ibema/PR, Brasil, 85478-000,Avenida Presidente Tancredo De Almeida Neves, 1171, Karfan, Itumbiara/GO, Brasil, 75516-475"
BTCI11,Títulos e Val. Mob.,"10,00","11,00%",11.57,"0,99",995.212.000,1702550.0,0,"0,00","0,00","0,00%","0,00%",
BTLG11,Híbrido,"102,67","4,76%",9.19,"0,98",4.440.390.000,9708100.0,21,"3.478,93","235,69","6,77%","2,43%","Rodovia Br470, 04, Machados, Navegantes/SC, Brasil, 88373-330,Rua Perola, 350, N/a, Jardim Santa Esmeralda, Hortolandia/SP, Brasil, 13186-546,Estrada De Sao Goncalo, S/ Nº, Altura Aproximada Do Km 530, Humildes , Feira De Santana/BA, Brasil, 44135-000,Estrada Do Capuava, 1000, Chacara Ondas Verdes, Cotia/SP, Brasil, 06715-725,Rodovia Ba535 Via Parafuso, Km 14, Cep 42849-000, S/n, Polo Logístico, Camacari/BA, Brasil, 42800-331,Avenida Doutor Antonio Joao Abdalla, 2010, Empresarial Colina, Cajamar/SP, Brasil, 07750-020,Rodovia Anhanguera, S/n, Km 308, Parque Residencial Candido Portinari, Ribeirao Preto/SP, Brasil, 14093-500,Estrada Ferreira Guedes, 784, Potuvera, Itapecerica Da Serra/SP, Brasil, 06885-150,Avenida Francisco Roveri, S/n, Parque Almerinda Pereira Chaves, Jundiai/SP, Brasil, 13212-541,Br 116, 2271, Verife, Itaitinga/CE, Brasil, 61880-000,Estrada Municipal Thereza Thomazella, 432, Bairro Dos Pires, Extrema/MG, Brasil, 37640-000,Rua Ronald Cladstone Negri, 557, Polo De Alta Tecnologia De Campinas Polo I, Campinas/SP, Brasil, 13069-472,Estrada Municipal Jose Sedano, 854, Residencial Quilombo Ii, Campinas/SP, Brasil, 13069-387,Rodovia Marechal Rondon, Km 536, 21500, Avenida, Aracatuba/SP, Brasil, 16027-231,Avenida Beirario, 5777, Distrito Industrial Deputado Simao Da Cunha, Santa Luzia/MG, Brasil, 33040-260,Avenida Alberto Soares Sampaio, S/n, Capuava, Maua/SP, Brasil, 09380-000,Rua Dona Catharina Maria De Jesus, 400, Bonsucesso, Guarulhos/SP, Brasil, 07175-500,Avenida Brigadeiro Faria Lima, 186, Pinheiros, Sao Paulo/SP, Brasil, 05426-200,Avenida Charles Goodyear, S/n, Cururuquara, Santana De Parnaiba/SP, Brasil, 06524-115,Rodovia Dom Gabriel Paulino Bueno Couto, Km 80,2, Esquina Com Via Dos Ipes, Bairro Do Jacaré, Cabreuva/SP, Brasil, 13315-000,Avenida Doutor Antonio Joao Abdalla, 3945, Empresarial Colina, Cajamar/SP, Brasil, 07750-020"
BTRA11,Outros,"46,05","51,49%",10.73,"0,42",154.938.000,336093.0,6,"1,72","0,23","13,51%","30,27%","Zona Rural, S/n, Zona Rural, Campo Verde/MT, Brasil, 78840-000,Area Rural, Sn, Sao Desiderio/BA, Brasil, 47820-000,Rodovia Br 364, Km 888, Campo Novo Do Parecis/MT, Brasil, 78360-000,Zona Rural, S/n, Zona Rural, Tapurah/MT, Brasil, 78573-000,Zona Rural, S/n, Zona Rural, Nova Mutum/MT, Brasil, 78450-000,Area Rural, Sn, Nova Maringa/MT, Brasil, 78445-000"
CACR11,,"107,00","6,55%",14.29,"1,08",517.487.000,1453140.0,0,"0,00","0,00","0,00%","0,00%",
CCME11,Outros,"10,27","7,27%",10.45,"0,97",696.276.000,628540.0,2,"6.636,14","438,00","6,60%","13,22%","Avenida Vieira De Carvalho, 99, Sem Complemento, Republica, Sao Paulo/SP, Brasil, 01210-010,Rua Casa Do Ator, 99, Sem Complemento, Vila Olimpia, Sao Paulo/SP, Brasil, 04546-000"
CLIN11,Títulos e Val. Mob.,"97,01","7,82%",9.87,"0,99",421.679.000,1506680.0,0,"0,00","0,00","0,00%","0,00%",
CPSH11,Shoppings,"10,60","5,01%",11.41,"0,93",677.088.000,2748300.0,6,"889,76","55,07","6,19%","6,10%","Avenida Praia De Belas, 1181, Praia De Belas, Porto Alegre/RS, Brasil, 90110-001,Avenida Washington Soares, 85, Edson Queiroz, Fortaleza/CE, Brasil, 60811-900,Rua Goncalves Crespo, 78, Tatuape, Sao Paulo/SP, Brasil, 03066-030,Rodovia Castelo Branco, 0 - Dona Catarina, Sao Roque/SP, Brasil, 18132-900,Rua Goncalves Crespo, 78, Tatuape, Sao Paulo/SP, Brasil, 03066-030,Br-116, Km 236, S/n, Operário, Novo Hamburgo/RS, Brasil, 93310-460"
CPTR11,Títulos e Val. Mob.,"8,41","15,66%",14.87,"0,86",348.006.000,745240.0,0,"0,00","0,00","0,00%","0,00%",
CPTS11,Títulos e Val. Mob.,"8,21","7,02%",10.89,"0,92",2.609.370.000,7816200.0,0,"0,00","0,00","0,00%","0,00%",
CRAA11,Títulos e Val. Mob.,"104,79","2,94%",13.96,"1,04",248.335.000,1012790.0,0,"0,00","0,00","0,00%","0,00%",
CVBI11,Títulos e Val. Mob.,"93,94","11,19%",11.7,"1,00",1.034.300.000,2938960.0,0,"0,00","0,00","0,00%","0,00%",
DEVA11,Títulos e Val. Mob.,"39,85","15,36%",15.67,"0,40",559.690.000,957524.0,0,"0,00","0,00","0,00%","0,00%",
EGAF11,Títulos e Val. Mob.,"94,85","13,17%",15.43,"0,96",297.062.000,584068.0,0,"0,00","0,00","0,00%","0,00%",
